lr-AdamW,step,loss,epoch,Bleu_1,Bleu_2,Bleu_3,Bleu_4,ROUGE_L,CIDEr
0.0001,49,,,,,,,,
,49,2.430455207824707,0,,,,,,
0.0001,99,,,,,,,,
,99,2.113353729248047,0,,,,,,
0.0001,149,,,,,,,,
,149,1.6226348876953125,0,,,,,,
0.0001,199,,,,,,,,
,199,2.0192534923553467,0,,,,,,
0.0001,249,,,,,,,,
,249,2.2644174098968506,0,,,,,,
0.0001,299,,,,,,,,
,299,0.9410805702209473,0,,,,,,
0.0001,349,,,,,,,,
,349,1.773770809173584,0,,,,,,
0.0001,399,,,,,,,,
,399,1.8705357313156128,0,,,,,,
0.0001,449,,,,,,,,
,449,1.6520737409591675,0,,,,,,
0.0001,499,,,,,,,,
,499,2.4207189083099365,0,,,,,,
0.0001,549,,,,,,,,
,549,2.1449344158172607,0,,,,,,
0.0001,599,,,,,,,,
,599,2.3293039798736572,0,,,,,,
0.0001,649,,,,,,,,
,649,2.3953194618225098,0,,,,,,
0.0001,699,,,,,,,,
,699,2.3743767738342285,0,,,,,,
0.0001,749,,,,,,,,
,749,2.0937745571136475,0,,,,,,
0.0001,799,,,,,,,,
,799,1.7608495950698853,0,,,,,,
0.0001,849,,,,,,,,
,849,1.3009958267211914,0,,,,,,
0.0001,899,,,,,,,,
,899,1.9018185138702393,0,,,,,,
0.0001,949,,,,,,,,
,949,1.5880175828933716,0,,,,,,
0.0001,999,,,,,,,,
,999,2.076481342315674,0,,,,,,
0.0001,1049,,,,,,,,
,1049,2.168182849884033,0,,,,,,
0.0001,1099,,,,,,,,
,1099,1.4907790422439575,0,,,,,,
0.0001,1149,,,,,,,,
,1149,2.068051338195801,0,,,,,,
0.0001,1199,,,,,,,,
,1199,2.0069491863250732,0,,,,,,
0.0001,1249,,,,,,,,
,1249,2.2843472957611084,0,,,,,,
0.0001,1299,,,,,,,,
,1299,1.566127896308899,0,,,,,,
0.0001,1349,,,,,,,,
,1349,1.8729867935180664,0,,,,,,
0.0001,1399,,,,,,,,
,1399,1.7049181461334229,0,,,,,,
0.0001,1449,,,,,,,,
,1449,2.170438766479492,0,,,,,,
0.0001,1499,,,,,,,,
,1499,2.08667254447937,0,,,,,,
0.0001,1549,,,,,,,,
,1549,1.3110722303390503,0,,,,,,
0.0001,1599,,,,,,,,
,1599,1.6477689743041992,0,,,,,,
0.0001,1649,,,,,,,,
,1649,1.1442818641662598,0,,,,,,
0.0001,1699,,,,,,,,
,1699,1.9941729307174683,0,,,,,,
0.0001,1749,,,,,,,,
,1749,1.221104621887207,0,,,,,,
0.0001,1799,,,,,,,,
,1799,1.8840500116348267,0,,,,,,
0.0001,1849,,,,,,,,
,1849,1.9312403202056885,0,,,,,,
0.0001,1899,,,,,,,,
,1899,2.5238938331604004,0,,,,,,
0.0001,1949,,,,,,,,
,1949,1.6193273067474365,0,,,,,,
0.0001,1999,,,,,,,,
,1999,1.2638665437698364,0,,,,,,
0.0001,2049,,,,,,,,
,2049,1.2223339080810547,0,,,,,,
0.0001,2099,,,,,,,,
,2099,2.1113810539245605,0,,,,,,
0.0001,2149,,,,,,,,
,2149,1.7869713306427002,0,,,,,,
0.0001,2199,,,,,,,,
,2199,1.1224912405014038,0,,,,,,
0.0001,2249,,,,,,,,
,2249,2.324641704559326,0,,,,,,
0.0001,2299,,,,,,,,
,2299,1.9648054838180542,0,,,,,,
0.0001,2349,,,,,,,,
,2349,1.611808180809021,0,,,,,,
0.0001,2399,,,,,,,,
,2399,2.082183361053467,0,,,,,,
0.0001,2449,,,,,,,,
,2449,2.4106152057647705,0,,,,,,
0.0001,2499,,,,,,,,
,2499,2.061361074447632,0,,,,,,
0.0001,2549,,,,,,,,
,2549,2.1908318996429443,0,,,,,,
0.0001,2599,,,,,,,,
,2599,1.42412531375885,0,,,,,,
0.0001,2649,,,,,,,,
,2649,1.2399338483810425,0,,,,,,
0.0001,2699,,,,,,,,
,2699,2.137988805770874,0,,,,,,
0.0001,2749,,,,,,,,
,2749,1.4722716808319092,0,,,,,,
0.0001,2799,,,,,,,,
,2799,2.210801601409912,0,,,,,,
0.0001,2849,,,,,,,,
,2849,1.4255791902542114,0,,,,,,
0.0001,2899,,,,,,,,
,2899,1.5649445056915283,0,,,,,,
0.0001,2949,,,,,,,,
,2949,1.6063021421432495,0,,,,,,
0.0001,2999,,,,,,,,
,2999,2.0919668674468994,0,,,,,,
0.0001,3049,,,,,,,,
,3049,2.6118199825286865,0,,,,,,
0.0001,3099,,,,,,,,
,3099,1.6289900541305542,0,,,,,,
0.0001,3149,,,,,,,,
,3149,1.218997836112976,0,,,,,,
0.0001,3199,,,,,,,,
,3199,1.7622720003128052,0,,,,,,
0.0001,3249,,,,,,,,
,3249,1.224632740020752,0,,,,,,
0.0001,3299,,,,,,,,
,3299,1.404549479484558,0,,,,,,
0.0001,3349,,,,,,,,
,3349,1.6926348209381104,0,,,,,,
0.0001,3399,,,,,,,,
,3399,1.7485569715499878,0,,,,,,
0.0001,3449,,,,,,,,
,3449,1.2614047527313232,0,,,,,,
0.0001,3499,,,,,,,,
,3499,1.1352707147598267,0,,,,,,
0.0001,3549,,,,,,,,
,3549,1.8694119453430176,0,,,,,,
0.0001,3599,,,,,,,,
,3599,1.6041271686553955,0,,,,,,
0.0001,3649,,,,,,,,
,3649,2.3812813758850098,0,,,,,,
0.0001,3699,,,,,,,,
,3699,1.6720439195632935,0,,,,,,
